KO,KEGG Name,KO Description,EC14,NW18,CC15,SW10,CC35,SW8,CC34,SC1,CC7,SW19,CC27,NE9,EC9
K01286,E3.4.16.4, D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4],212.5620979,354.8864155,299.5240389,195.9715908,512.4459475,292.5797909,364.9751771,332.0099961,424.8068721,153.4075719,57.10739957,195.6006217,241.2570847
K03147,thiC, phosphomethylpyrimidine synthase [EC:4.1.99.17],308.3514231,279.5561804,302.2483013,401.0670446,346.0653805,249.4986016,275.4000784,352.6447441,193.9224087,240.3110701,143.2742766,156.7066538,385.9026273
K00759,"APRT, apt", adenine phosphoribosyltransferase [EC:2.4.2.7],230.5861492,307.4748153,295.2101809,242.5452703,305.5273031,257.7149113,226.9520155,293.2361062,241.8767756,273.0333414,294.038148,327.351008,336.1880568
K02825,pyrR, pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9],198.6327475,353.0354342,305.0497999,233.6485451,285.1716642,260.757611,242.2246403,289.8477124,256.4980621,270.0510991,230.2437607,340.6927746,343.3702544
K02994,"RP-S8, rpsH", small subunit ribosomal protein S8,204.6705642,343.7211005,335.0785846,283.4792067,307.2326703,223.1273747,252.1219733,343.945016,226.0920876,243.7091706,211.733991,276.4915968,356.2994887
K07071,K07071, uncharacterized protein,279.3540881,357.6365455,331.2017117,174.8790714,208.1849229,255.4486678,263.6266676,251.809406,307.2547427,310.4322299,264.3256361,331.9931867,262.0503028
K07787,"cusA, silA", copper/silver efflux system protein,863.1306266,134.9769221,371.1544703,283.1928375,375.867195,322.6253786,198.7134636,214.4179804,66.92395232,82.05526755,27.81774545,297.5439325,359.0106424
K00231,"PPOX, hemY", protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15],245.7536946,285.9293789,267.6752439,237.1671828,256.4936065,214.0817506,215.101964,245.0678777,255.2468124,446.0301016,309.480618,353.0064826,264.1946505
K00812,aspB, aspartate aminotransferase [EC:2.6.1.1],364.7715974,220.9608704,383.809365,331.78706,332.8612356,270.1093737,234.0207377,305.5213598,182.9106562,101.0256078,160.5305597,368.3794414,338.4745036
K01693,hisB, imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19],222.4369583,377.981536,330.2298876,228.5682296,244.3758438,245.2231613,259.3761471,366.9438155,258.5520925,266.2191575,222.7252648,249.5608412,315.9077182
K00015,"gyaR, GOR1", glyoxylate reductase [EC:1.1.1.26],264.1065017,299.0406322,358.6604089,219.7786137,357.8868245,253.8060339,233.0528517,413.1656105,257.6059133,200.6637796,131.920873,236.2094653,344.3226659
K15975,K15975, glyoxalase family protein,190.3996117,349.7846634,355.5035737,198.117232,305.9731778,254.7810042,251.9164014,303.9849562,254.2399912,218.6727218,193.0510617,341.1895577,352.3124693
K00823,puuE, 4-aminobutyrate aminotransferase [EC:2.6.1.19],243.250116,341.0311388,388.9113083,269.4194584,311.2979369,202.2919459,229.3396975,378.1239429,254.0281734,192.4879742,80.38246186,216.199185,462.8114971
K03856,"AROA2, aroA", 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54],280.3168969,344.4618474,320.1430884,358.5260708,329.5525873,290.6291782,208.4861086,282.470255,223.9387379,194.6800694,226.2355236,131.4132203,375.7318131
K00794,"ribH, RIB4"," 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",269.4097176,312.3273962,267.3671587,291.9541927,300.3964837,289.5501197,246.0972873,265.0537684,251.6059354,270.6685547,196.2673787,300.2105125,301.5600639
K04517,tyrA2, prephenate dehydrogenase [EC:1.3.1.12],233.3488323,362.6934153,272.5771467,250.4724471,237.0156827,260.2285469,212.9831258,299.1173893,282.690363,276.9684149,302.421655,260.5924453,309.6093239
K18955,whiB1_2_3_4," WhiB family transcriptional regulator, redox-sensing transcriptional regulator",111.1996775,440.9064394,141.8055649,206.3848828,144.3155524,127.1136475,316.0318825,165.3531604,356.7623189,435.5259419,457.2062674,366.4637834,290.2147068
K13292,"lgt, umpA", phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145],488.9983102,283.2736264,333.5107876,265.8715661,258.9747318,275.3783083,228.0895467,284.0257656,181.5153663,278.1467632,105.7358121,265.0768385,310.2370472
K11473,glcF, glycolate oxidase iron-sulfur subunit,260.5352049,329.3360013,347.0636448,310.9458122,346.6515686,284.2591473,243.668017,345.9337847,193.224613,127.1989455,259.373059,179.7166254,326.1991553
K12410,npdA, NAD-dependent deacetylase [EC:3.5.1.-],245.4970229,324.3305587,323.7855969,210.1875433,268.3997059,288.5178206,218.3012731,347.3141836,249.9324432,281.6819716,142.8611031,360.1932305,292.4939312
K08744,CRLS, cardiolipin synthase (CMP-forming) [EC:2.7.8.41],193.721895,334.2809763,310.1471461,269.2607891,270.8615213,277.4025923,273.0723996,313.4327706,274.4721338,274.5687597,213.7148133,235.8663292,307.725963
K03572,mutL, DNA mismatch repair protein MutL,387.0447862,250.140178,354.6977115,366.261778,321.4020359,284.4382427,183.2353631,280.8015164,94.92130714,126.3949586,286.6986511,289.7451824,321.9375864
K01443,"nagA, AMDHD2", N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25],276.7276029,250.1175486,263.3388012,273.101617,245.0655001,236.1828844,235.8757873,325.1037356,325.3348903,256.6837495,328.8086965,239.2587267,283.4952698
K03786,"aroQ, qutE", 3-dehydroquinate dehydratase II [EC:4.2.1.10],210.2798128,287.0945218,281.706158,232.9197512,278.8207868,262.8791296,235.0404038,273.4424017,260.5492386,293.5385265,278.2322263,341.2135058,299.9159153
K00965,"galT, GALT", UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12],248.3119315,334.4493255,299.2228293,236.7920009,268.809696,268.1216239,203.9120933,292.5664141,238.8737818,283.2062753,325.0664666,217.4120625,315.6956471
K04757,rsbW, serine/threonine-protein kinase RsbW [EC:2.7.11.1],201.9885831,402.2680517,271.0849033,210.7759466,183.1940237,256.2265335,242.1144001,259.858113,282.5643418,373.4298313,280.9649789,255.8503391,310.8634706
K10117,msmE, raffinose/stachyose/melibiose transport system substrate-binding protein,152.5894,337.2997693,298.3383494,240.5880942,241.8230117,228.6921348,325.9776887,265.5383051,609.0085072,128.7140845,281.575263,133.4303327,282.6503933
K07407,"E3.2.1.22B, galA, rafA", alpha-galactosidase [EC:3.2.1.22],193.4138575,339.0445018,171.667833,373.1058709,124.0404873,318.0019504,405.0549299,208.1622377,467.9348787,238.1249038,343.5013413,158.2711013,185.3722308
K00156,poxB, pyruvate dehydrogenase (quinone) [EC:1.2.5.1],78.19554454,284.6528136,136.5084335,709.2176434,272.5034745,323.2373405,224.5861804,156.6894739,175.5700939,66.32494249,736.9399839,183.2370632,177.5571391
K22934,E3.2.1.28," alpha,alpha-trehalase [EC:3.2.1.28]",49.60941455,313.7407264,353.9134901,147.8945561,491.1564488,266.1371841,276.1069513,355.913201,323.9252286,233.7853941,204.644625,137.0581943,370.9294424
K13810,tal-pgi, transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9],242.3582613,364.6542126,357.8922237,333.4086014,304.4152038,215.9701422,210.4654189,351.2344839,192.827561,255.4782344,180.2685237,158.9364285,356.8703561
K09461,E1.14.13.40, anthraniloyl-CoA monooxygenase [EC:1.14.13.40],198.3263793,389.7269406,296.0721203,335.0243541,283.7641016,206.8138278,265.0931796,307.2000576,243.1409402,200.3655149,254.8192989,138.6863928,398.2094329
K00008,"SORD, gutB", L-iditol 2-dehydrogenase [EC:1.1.1.14],228.4068833,253.1121191,388.5804258,288.6474221,320.1212925,232.5224689,225.8054991,307.1718926,305.4049406,225.6784249,220.4465263,185.3869108,334.1128096
K08676,tri, tricorn protease [EC:3.4.21.-],257.5138845,218.6039196,440.1281501,478.9055701,205.9325831,249.045228,160.1454999,320.1841635,166.5283193,85.68939772,394.3163267,170.3533519,366.1563023
K03768,"PPIB, ppiB", peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8],229.6379371,326.4760506,281.1515163,316.9267085,241.2980582,243.9320806,245.0488765,263.7162234,298.8186377,273.4847992,309.3843242,156.6206418,321.4440893
K09748,rimP, ribosome maturation factor RimP,217.091344,290.3547819,249.8675492,312.8354536,261.2929991,254.7014579,255.0489668,284.9030892,242.7642902,320.35341,196.7677803,316.874483,302.3939545
K07140,K07140, uncharacterized protein,205.0598374,343.9295794,281.3646217,217.612714,247.9995539,287.2521134,263.2085391,207.1069625,338.0950827,340.3669185,296.3059604,211.841898,263.4258596
K03833,"selB, EEFSEC", selenocysteine-specific elongation factor,249.288333,323.5750585,337.7992189,270.5913804,305.338825,296.1909729,201.1975529,328.1268782,149.4411842,171.9212787,310.516554,210.6372686,348.5056344
K03734,apbE, FAD:protein FMN transferase [EC:2.7.1.180],237.1393608,131.1698804,181.5835627,277.7192534,269.6423438,651.0270289,245.0745161,249.3166522,109.7886385,153.5099836,514.0171348,331.6351627,149.2698603
K01556,"KYNU, kynU", kynureninase [EC:3.7.1.3],211.1972668,220.9539084,337.2437585,300.7435525,284.7427874,298.0577866,246.8609054,365.9227494,272.2876114,189.3383217,188.0712363,286.2056381,297.3714228
K02881,"RP-L18, MRPL18, rplR", large subunit ribosomal protein L18,260.4117021,290.2821879,297.5462585,255.856615,245.6327883,255.003876,210.9592603,331.3071474,238.2499956,231.4692391,269.0214747,274.1249523,337.695769
K04488,"iscU, nifU", nitrogen fixation protein NifU and related proteins,229.4835786,311.5395392,290.8991795,248.0475903,307.2030934,263.0706989,227.3763342,270.5233228,238.8036053,240.9442275,323.307639,194.8507313,346.2241717
K02484,K02484," two-component system, OmpR family, sensor kinase [EC:2.7.13.3]",194.7649325,313.0229138,193.0427049,302.1005404,247.587275,257.4458032,301.7334224,235.1651441,342.9324911,244.2133777,342.9157142,233.3884054,274.4133061
K07516,fadN, 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],305.004587,233.2514842,391.2958317,383.4516169,297.5693164,237.4339498,261.1999755,327.0182887,107.5310686,127.5442288,192.0900155,246.2596672,371.5631292
K03501,"gidB, rsmG", 16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170],296.964611,286.4128227,226.0368237,239.2803583,199.3324698,265.7802937,215.5347232,319.6589469,255.2879827,298.2366533,327.4605159,318.0988043,225.0764455
K07250,gabT, 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48],165.3720674,280.821131,295.6954782,239.7266188,321.3620713,299.9048961,212.6629528,364.4807119,248.9676334,166.2599449,264.6150534,201.2638892,405.5543772
K06958,rapZ, RNase adapter protein RapZ,202.1991824,390.5891674,288.6483342,234.9218713,237.3846329,215.4992033,234.7408343,272.2774421,253.2013769,294.3061615,219.8959239,263.6508633,358.71022
K09710,ybeB, ribosome-associated protein,252.3016081,303.9186963,271.9209191,248.77603,288.5927512,258.1990355,215.5970492,308.4572717,212.6210188,260.599229,248.8133782,262.3570661,330.5093387
K02952,"RP-S13, rpsM", small subunit ribosomal protein S13,174.7333397,304.6906704,333.7893821,330.458307,291.9690855,218.1505258,227.8002941,308.7509871,216.9865788,241.6415383,152.9691919,266.8733934,384.894476
K01057,"PGLS, pgl, devB", 6-phosphogluconolactonase [EC:3.1.1.31],235.3199345,303.3779971,248.2058296,256.3445219,264.4930808,301.0038588,256.0590419,294.7884412,247.3364324,312.3280168,264.2576973,168.6327979,296.2674283
K07104,catE," catechol 2,3-dioxygenase [EC:1.13.11.2]",222.3023574,332.6067318,330.0675829,218.5494038,306.7360568,247.8410478,236.1883975,275.6564828,223.1052763,287.2137876,206.3615566,257.3893346,301.4965226
K06199,"crcB, FEX", fluoride exporter,244.087932,203.8412547,135.9495734,323.1502691,170.8169556,324.2528617,254.4051263,180.4953876,300.2355837,354.8428908,464.0056567,325.2145109,163.2083184
K07243,"FTR, FTH1, efeU", high-affinity iron transporter,190.0969352,125.5655889,322.5664384,319.6684648,343.8185618,366.8554601,261.4002291,366.838435,187.242107,176.9278513,286.9375856,191.9005491,303.8188685
K00925,ackA, acetate kinase [EC:2.7.2.1],311.7242203,144.292182,324.0104277,284.9711945,337.6214464,344.3939552,266.4521625,271.5777613,274.9018158,109.1877038,306.4323431,221.5751455,246.0233814
K00940,"ndk, NME", nucleoside-diphosphate kinase [EC:2.7.4.6],254.4377102,263.8759123,291.6736261,248.3384808,316.7684712,272.5569777,196.8833428,298.8470891,208.4055117,246.4280177,248.5148105,275.2362584,319.5598492
K00101,lldD, L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],217.7177832,266.2282432,223.7697465,405.3389422,328.4661459,213.3400464,255.1542229,298.3265986,228.8857082,325.2109266,272.2803426,183.7346669,222.5691718
K01153,hsdR," type I restriction enzyme, R subunit [EC:3.1.21.3]",417.8215867,111.5453332,76.42870291,491.3804994,129.0263386,217.7463301,146.3187613,152.6276323,129.9365757,214.1460848,760.8710705,475.6301248,111.9776999
K06213,mgtE, magnesium transporter,417.5580758,217.2979338,437.460273,241.8608701,344.1515739,247.5368894,195.0128276,350.5672388,181.0419153,119.7305374,40.45657607,279.3701372,363.1118263
K03625,nusB, transcription antitermination protein NusB,257.4486949,297.3941632,315.4117693,265.1006046,240.225178,286.9142061,201.9298959,264.2197521,217.2049292,217.8860487,261.6153883,288.5267865,312.7659733
K21471,cwlO, peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-],139.5753518,282.9111607,196.6422781,240.2391035,186.4783674,349.8910847,285.6493652,277.5915154,383.4918305,269.9967167,393.4863655,171.7758772,242.6038669
K00950,folK, 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3],259.9084485,308.7334081,244.8527551,216.5383196,255.8921267,276.2551902,231.0033376,276.8688067,237.6746538,310.0692339,242.5150048,296.4405309,262.8735761
K14447,ecm, ethylmalonyl-CoA mutase [EC:5.4.99.63],97.08998661,497.6532873,266.7730666,159.7403135,220.7809319,208.3679093,278.2878737,259.0209852,302.157195,323.4928495,198.9918802,265.0681907,338.5031865
K07042,"ybeY, yqfG", probable rRNA maturation factor,279.9539604,332.8454824,242.1111854,229.7367272,259.0348576,272.7113336,221.1221098,266.8615696,238.1249604,295.0205757,292.3378539,214.5112795,268.2104107
K21416,acoA," acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [EC:1.1.1.-]",237.7095886,226.7842947,330.1741519,301.0557071,385.4214628,267.0920294,200.6579196,377.3453804,206.3222516,118.9223887,172.0011384,186.6747146,401.2628745
K22044,ybiO, moderate conductance mechanosensitive channel,179.4134347,381.8116681,255.8638084,189.8120167,191.9521812,223.2735411,304.4947338,266.8744302,273.1563345,310.8420692,226.7381921,319.3790341,284.4157992
K03313,nhaA," Na+:H+ antiporter, NhaA family",320.7470331,495.9514804,328.8710041,111.5410477,199.1054753,233.8152026,254.2909054,206.3040587,246.0714462,269.0516958,24.11292378,332.4029125,376.872647
K07484,K07484, transposase,243.9539907,345.9850374,183.6557686,275.1136484,393.1988859,570.5456598,126.964621,151.2800324,132.1533817,203.3287868,365.5032488,228.1157825,178.4106583
K00459,"ncd2, npd", nitronate monooxygenase [EC:1.13.12.16],277.0259314,315.2838031,261.0597491,333.7300597,233.8966765,245.6517423,320.4745615,259.4514855,223.1870922,258.6782797,268.7056254,173.1892512,224.499698
K01661,menB, naphthoate synthase [EC:4.1.3.36],178.6486808,425.4941953,256.48581,147.2914531,236.1369099,236.5971579,234.3051055,288.6999819,286.222643,304.3185821,133.6846687,260.7685809,403.7456708
K01191,MAN2C1, alpha-mannosidase [EC:3.2.1.24],169.0717093,359.5746267,300.9322195,353.3996355,181.3775609,241.6633881,179.1064467,243.2238699,362.7846156,106.6355743,496.1387848,90.30925462,307.429224
K02867,"RP-L11, MRPL11, rplK", large subunit ribosomal protein L11,193.4208477,326.2293665,304.7607402,291.2161207,264.4420308,208.7236464,226.5121049,318.9057414,217.3434366,195.2035434,186.8843028,260.8464135,393.4999324
K09117,K09117, uncharacterized protein,301.3085297,267.704717,291.8019522,230.9678735,229.2406849,262.0444182,215.8669209,296.6758571,251.9027332,197.1505952,236.1222081,285.8371458,316.0405746
K03282,mscL, large conductance mechanosensitive channel,245.9133673,232.5022017,273.3129892,267.7070647,241.6496159,278.2058508,236.8298929,252.7832898,208.2596512,245.2042553,344.9415814,285.1708776,265.5207167
K00772,"mtaP, MTAP", 5'-methylthioadenosine phosphorylase [EC:2.4.2.28],245.7467518,257.7624388,319.9115777,250.5928834,287.8318759,248.8285113,226.0554603,294.4423987,208.3379089,175.9999894,309.2333556,222.5937044,330.0633072
K02887,"RP-L20, MRPL20, rplT", large subunit ribosomal protein L20,231.1093373,311.2322558,313.2541899,239.8629404,286.3149079,217.9128217,196.8914129,322.5550549,221.9556344,221.5398368,199.4988766,256.136288,357.5062788
K02884,"RP-L19, MRPL19, rplS", large subunit ribosomal protein L19,235.7422339,286.9236437,293.507581,262.6369821,287.8937933,245.457285,225.9846126,314.0138025,201.2133316,210.7071052,201.8361184,237.8880901,370.6336991
K18682,rny, ribonucrease Y [EC:3.1.-.-],208.5928952,348.3740768,331.0853401,241.6877426,318.3230352,280.1406196,192.4917085,358.639507,207.6580114,149.5880895,160.0396736,157.9337993,415.6177286
K02890,"RP-L22, MRPL22, rplV", large subunit ribosomal protein L22,240.614625,313.9261199,278.734778,269.1563678,230.858089,242.7647112,218.1531024,257.7890623,200.9949877,230.3104742,236.1233018,288.8888113,357.4188154
K03925,mraZ, MraZ protein,226.7506095,265.0263915,287.7513824,250.2268529,294.3806764,245.364978,202.9923594,319.1074751,208.4508142,177.4956427,259.8761249,275.6433943,351.9585385
K02888,"RP-L21, MRPL21, rplU", large subunit ribosomal protein L21,253.2740071,263.2187944,265.880317,288.5979483,270.741938,253.8706236,217.6476291,315.0165913,213.5395554,204.5532979,212.3143893,291.4087276,314.8795406
K00931,proB, glutamate 5-kinase [EC:2.7.2.11],224.5214135,379.7746207,243.1911002,208.5444456,225.0448752,270.6454631,237.4799987,290.637916,247.2546639,277.6904785,190.9293866,335.8119966,233.3293647
K02017,modC, molybdate transport system ATP-binding protein [EC:7.3.2.5],207.9047589,244.4033783,262.2692137,293.7341054,271.432662,283.8944416,225.3721333,298.200558,256.9062127,306.3537807,245.5823516,250.9954223,214.590789
K18235,vgb, virginiamycin B lyase [EC:4.2.99.-],226.5122689,293.2541413,386.0169679,291.9314635,428.2468995,190.4037304,195.598952,319.9916478,192.3363197,121.6816125,251.3711955,118.947453,344.0493169
K01805,xylA, xylose isomerase [EC:5.3.1.5],163.3153238,320.2821615,330.3981723,226.0524984,225.2292042,201.6622553,241.4812894,357.9379718,318.603753,151.6819431,175.5052997,257.238267,372.5684312
K11068,hlyIII, hemolysin III,188.8715822,278.0525153,258.3964049,121.8383543,267.0738561,278.7512226,209.0822175,236.314644,301.4839095,311.2246534,185.6669878,411.3922182,284.8994032
K02078,acpP, acyl carrier protein,189.3022566,304.8289999,241.6708481,247.6284649,257.4195458,201.0292274,284.1973193,238.9699954,233.8569138,297.6925231,288.4542953,235.7109685,310.4004146
K02548,menA," 1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]",199.7761496,349.0220034,272.792795,148.9343384,192.5584407,228.1468313,191.4146237,234.4923097,268.7561615,283.4439379,320.4009473,363.7359299,276.2584456
K07040,K07040, uncharacterized protein,216.9552696,282.8595596,244.2444005,225.0045205,251.3819516,241.07224,221.9910434,278.2693916,267.9099142,307.5783933,291.0739069,195.4802138,302.8097664
K17828,pyrDI, dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14],196.9005053,314.7431344,298.4347849,310.2879178,249.2633706,286.4406014,197.3740431,306.6471614,185.0221479,280.0766747,191.7834254,204.3381696,302.753599
K01008,"selD, SEPHS"," selenide, water dikinase [EC:2.7.9.3]",232.455939,284.947708,304.3101885,223.9799268,332.7757467,303.1657768,203.9517287,288.8318734,152.9057217,166.6346849,249.3860178,229.6504951,341.6750798
K03581,recD, exodeoxyribonuclease V alpha subunit [EC:3.1.11.5],167.9644007,397.9596683,170.3807503,218.3512544,246.7071778,282.8239955,162.7576635,140.7876937,247.2735497,263.8809187,399.7406415,375.0342903,240.2153024
K00453,"TDO2, kynA"," tryptophan 2,3-dioxygenase [EC:1.13.11.11]",184.0893717,263.2527109,259.6344019,301.0761866,234.3612898,224.6946247,223.2146437,231.1576247,274.6226609,245.8948853,216.6520873,295.8939915,351.9996414
K06999,K06999, phospholipase/carboxylesterase,254.5435847,286.7300137,311.5906711,165.9545861,260.7472616,257.6093734,240.7373037,268.1715876,244.8861773,218.5035554,154.125969,358.5287922,276.5750551
K06929,K06929, uncharacterized protein,210.8414904,262.0373161,299.5766484,195.0052612,284.7303637,294.6541794,232.1737845,266.6427926,268.9705251,171.4436601,147.7366174,340.8743167,320.7129417
K15583,oppD, oligopeptide transport system ATP-binding protein,257.2119017,297.7030489,271.1056661,186.0249198,280.0458031,195.8655417,261.3484478,351.0037026,250.1441755,171.9328719,149.5172186,211.0410279,393.8345928
K03652,MPG, DNA-3-methyladenine glycosylase [EC:3.2.2.21],238.443055,264.605995,246.9501981,256.6396243,257.6017779,293.707107,200.0604349,259.1595431,246.7833898,266.7190259,224.0554251,242.5833912,278.2278951
K02860,rimM, 16S rRNA processing protein RimM,275.0379288,283.1262864,236.1016824,185.3818508,228.5984043,237.8634024,204.0416697,278.8912163,219.7244535,290.8722103,279.2188177,312.9896114,242.8793155
K02195,ccmC, heme exporter protein C,254.2068802,268.0894751,319.0164932,296.6959908,271.8204728,247.5024968,204.6250655,295.4135084,163.1466976,269.9317913,131.2457709,221.4317699,330.3604956
K05520,pfpI, protease I [EC:3.5.1.124],193.7916706,312.0815819,237.9098948,295.3661304,165.6429828,264.8680472,278.5861265,216.6537616,230.5410701,179.2931312,331.2600198,288.5969561,271.3218885
K07003,K07003, uncharacterized protein,401.019076,190.2794854,298.4989881,363.945609,405.2499708,257.1636259,215.5593461,301.0205005,111.5338542,137.7326113,24.76438423,327.1227416,231.1262393
K01658,trpG, anthranilate synthase component II [EC:4.1.3.27],210.8004466,280.566003,301.3175962,249.4082682,263.1270388,252.1718761,173.6807786,263.0472363,182.7928522,274.2255534,139.8041361,360.1805127,307.635494
K03469,"rnhA, RNASEH1", ribonuclease HI [EC:3.1.26.4],284.1528078,254.4546874,273.323118,241.7747677,190.2477213,263.6968394,219.8033885,226.735949,235.4726112,234.6878482,239.1072778,324.9048957,265.4311271
K02687,prmA, ribosomal protein L11 methyltransferase [EC:2.1.1.-],323.2191995,226.3165471,283.1255416,229.6847962,249.3600102,280.0607191,167.9954665,305.039189,181.9817625,273.3595111,142.5688097,329.7676226,259.8102313
K08963,mtnA, methylthioribose-1-phosphate isomerase [EC:5.3.1.23],276.194177,264.8894034,317.4589567,278.3495252,299.881034,265.2839277,194.6924053,327.0966529,161.595439,179.6861215,224.4741824,148.0211034,313.4121822
K07301,yrbG, cation:H+ antiporter,178.3093228,282.6370577,201.8468673,170.8412672,240.6702544,216.8300919,132.2068377,185.1614545,175.641008,101.9758048,179.4826545,876.8726131,307.6644368
K02959,"RP-S16, MRPS16, rpsP", small subunit ribosomal protein S16,202.9073184,286.0577737,234.5613843,237.5372675,242.4534252,229.2354872,246.2309163,278.2011384,230.9171844,247.6869901,208.7125166,316.7977267,288.493727
K00029,"E1.1.1.40, maeB", malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],299.3269545,246.8032343,344.1944416,338.4679123,252.9608501,256.7191835,242.3641136,346.4252184,113.2649208,125.7417306,34.1436891,333.7015376,315.0457737
K06925,tsaE, tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,277.8022918,251.6837931,234.9140177,190.2727191,218.9112499,282.7827726,180.6197186,270.6772836,227.2609284,258.4415072,313.0351647,293.577812,242.723439
K10543,xylF, D-xylose transport system substrate-binding protein,130.2112003,274.5571028,266.4528666,229.5390647,226.5800188,304.2605072,245.756248,350.6536202,324.5628342,228.3796969,240.2888254,148.4430259,272.5545471
K01299,E3.4.17.19, carboxypeptidase Taq [EC:3.4.17.19],216.1468376,274.8780904,327.5402626,279.097583,298.9686127,257.5605832,181.3354872,359.6487443,186.5644756,176.1313261,149.3865534,187.392331,344.386042
K01669,phrB, deoxyribodipyrimidine photo-lyase [EC:4.1.99.3],232.326053,229.8236278,285.0686374,135.5565362,193.5717116,322.2223831,274.8938234,256.072039,214.8184938,292.4086673,107.4195788,494.3274889,195.1215499
K02834,rbfA, ribosome-binding factor A,239.5775983,287.4960694,259.2556316,213.8331723,203.0806063,256.2208569,196.2041477,282.2074454,214.4482902,280.6605229,226.922958,295.7436229,274.9200653
K00302,soxA," sarcosine oxidase, subunit alpha [EC:1.5.3.1]",164.7672779,393.1819036,358.0825914,174.7252226,263.4112636,150.4063506,207.9065583,370.9889779,300.612409,110.1867031,37.5944741,267.0478493,430.9339654
K12234,"cofE, fbiB", coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34],192.6177359,350.2776245,272.5085306,140.3512462,207.7329481,225.9860677,181.1933107,311.8153211,242.3043907,311.5722651,290.1700182,222.6400208,268.73008
K03637,"moaC, CNX3", cyclic pyranopterin monophosphate synthase [EC:4.6.1.17],244.0322916,279.4585433,247.1930044,248.1936837,211.3559578,254.8296889,217.8597853,281.3005651,232.8849312,226.1557584,269.8030077,237.7367661,266.3585159
K01938,fhs, formate--tetrahydrofolate ligase [EC:6.3.4.3],201.3980611,283.3345772,338.9665604,243.6931532,326.6499077,267.8087527,193.0039082,375.1272088,237.0815369,111.2794173,34.11703055,231.7218324,370.5365326
K03530,hupB, DNA-binding protein HU-beta,179.8427155,286.4563398,250.2428405,229.8087501,346.4851506,224.9891966,250.6291336,238.8159777,249.2349908,253.0892789,250.0521923,187.9172171,266.779685
K02018,modB, molybdate transport system permease protein,217.8065967,273.2538368,261.3952641,210.2623463,269.615841,267.5965022,212.5525631,286.7403233,237.7245202,299.0807354,192.8510228,234.4027314,249.2809718
K02961,"RP-S17, MRPS17, rpsQ", small subunit ribosomal protein S17,224.891329,297.2530699,271.3831634,236.9788403,229.9611617,237.1414504,187.8649116,296.818568,214.1101422,231.5251079,242.9939951,218.5093727,321.9445297
K03116,tatA, sec-independent protein translocase protein TatA,208.1937348,273.7380536,235.3951418,298.4102062,255.2932957,242.0476801,208.5970966,263.9156088,233.3457877,250.5424088,236.7530857,255.5289217,248.1725232
K14166,ycnJ, copper transport protein,148.9235247,273.6039087,213.4755796,162.2428968,261.0156023,171.1638016,161.6277078,325.2764043,302.1865222,334.5235827,271.6775809,272.6531288,304.928678
K00941,thiD, hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7],262.586004,304.7873577,229.147025,267.5664662,236.8159536,238.1362901,234.8620567,248.9944945,208.4599894,246.3586175,245.6445068,217.6896013,260.8126361
K02114,"ATPF1E, atpC", F-type H+-transporting ATPase subunit epsilon,228.0223871,258.8287451,247.375939,245.8143792,226.9693044,275.3072321,193.4680159,273.3806453,201.5912741,242.9348602,219.8659412,290.1202793,294.5735825
K08372,pepD, putative serine protease PepD [EC:3.4.21.-],111.3934478,288.6548149,187.5041314,188.2480448,188.7412055,278.1153668,279.2463408,218.0296622,366.0135593,366.0654923,325.6253879,157.7947619,241.3858194
K01087,otsB, trehalose 6-phosphate phosphatase [EC:3.1.3.12],196.9670262,333.9046741,217.7855533,220.7427146,198.55822,295.1574958,223.2419648,208.2729648,238.2421594,301.7590083,259.3989964,236.0077942,256.2004734
